Unnamed: 0,Unnamed: 0.1,RA_deg,DEC_deg,coord_ra,coord_dec,object,Field,ccdnum,MJDObs,Obs,AIRMASS,SEEING,EXPTIME,base_PsfFlux_flux,base_PsfFlux_fluxSigma
157684,157684,308.31836716323176,-39.712557057565725,5.381170651371163,-0.6931148750406333,4,1,24,57992.10106363,1.0,1.02,2.364,240.0,776.1562002454419,76.43576013057779
157685,157685,308.3183611712585,-39.712502564370105,5.381170546791502,-0.6931139239549496,4,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,666.9461956509058,506028.497834244
157686,157686,308.3192264941015,-39.76953212065671,5.381185649524204,-0.6941092774831022,7,1,24,57992.10106363,1.0,1.02,2.364,240.0,489.10337751380996,75.42779505603956
157687,157687,308.3193073453731,-39.7694850681366,5.3811870606450976,-0.694108456261705,7,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,605.7616455644328,248335.97224291266
157688,157688,308.31975454161363,-39.73770869212489,5.3811948656918975,-0.6935538538759489,8,1,24,57992.10106363,1.0,1.02,2.364,240.0,10260.47049119242,96.64131937407171
157689,157689,308.3197514499195,-39.73770684103528,5.381194811731657,-0.6935538215683406,8,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,10140.197238864212,106.92041813816783
157690,157690,308.3205051896132,-39.79731464195253,5.3812079669710124,-0.6945941739542197,10,1,24,57992.10106363,1.0,1.02,2.364,240.0,1594.5712851416904,78.28746524607092
157691,157691,308.3205322140258,-39.79734283181188,5.3812084386359915,-0.6945946659600811,10,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,1610.4643486358937,92.07449939221183
157692,157692,308.3199801738932,-39.74384577566779,5.381198803718076,-0.6936609661902428,11,1,24,57992.10106363,1.0,1.02,2.364,240.0,4315.5532901929655,84.26047954388095
157693,157693,308.31997614831965,-39.743841722370576,5.381198733458563,-0.6936608954468606,11,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,4225.792991504282,96.56667042879252
157694,157694,308.32042386638017,-39.79335043174736,5.38120654761284,-0.6945249854338987,12,1,24,57992.10106363,1.0,1.02,2.364,240.0,616.111165638505,75.36720868915685
157695,157695,308.32050794451067,-39.79338359637426,5.381208015053046,-0.694525564265833,12,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,609.8398294291616,89.52266260664216
157696,157696,308.3202390485127,-39.7185609740344,5.381203321932535,-0.6932196631510262,14,1,24,57992.10106363,1.0,1.02,2.364,240.0,3959.8264003620384,83.57061624685855
157697,157697,308.3202289073472,-39.71856249691671,5.381203144935807,-0.6932196897303368,14,1,24,57993.08775316,2.0,1.03,1.9509999999999998,240.0,3937.6959146213812,96.09187849614858
